,rv_dt,value,category,rv_seen
354,2022-12-24,89.62,Non Open Resolvers,4358925
355,2022-12-25,90.12,Non Open Resolvers,4457884
356,2022-12-26,89.35,Non Open Resolvers,4533601
357,2022-12-27,89.12,Non Open Resolvers,4424634
358,2022-12-28,89.12,Non Open Resolvers,4355920
359,2022-12-29,89.39,Non Open Resolvers,4167333
360,2022-12-30,89.57,Non Open Resolvers,3880598
361,2022-12-31,89.96,Non Open Resolvers,3903563
362,2023-01-01,85.8,Non Open Resolvers,4272899
363,2023-01-02,84.96,Non Open Resolvers,4472373
364,2023-01-03,89.75,Non Open Resolvers,4519693
365,2023-01-04,89.71,Non Open Resolvers,4504993
366,2023-01-05,90.17,Non Open Resolvers,4562387
367,2023-01-06,90.01,Non Open Resolvers,4420926
368,2023-01-07,90.54,Non Open Resolvers,4167207
369,2023-01-08,90.27,Non Open Resolvers,4410490
370,2023-01-09,90.17,Non Open Resolvers,4687336
371,2023-01-10,85.28,Non Open Resolvers,4935380
372,2023-01-11,90.27,Non Open Resolvers,4749561
373,2023-01-12,90.51,Non Open Resolvers,4652656
374,2023-01-13,90.28,Non Open Resolvers,4464198
375,2023-01-14,90.02,Non Open Resolvers,4222136
376,2023-01-15,90.37,Non Open Resolvers,4158064
377,2023-01-16,90.57,Non Open Resolvers,4400727
378,2023-01-17,90.03,Non Open Resolvers,4293106
379,2023-01-18,89.83,Non Open Resolvers,4245377
380,2023-01-19,89.76,Non Open Resolvers,4293215
381,2023-01-20,89.98,Non Open Resolvers,4297241
382,2023-01-21,90.31,Non Open Resolvers,4416921
383,2023-01-22,90.55,Non Open Resolvers,4368038
384,2023-01-23,90.09,Non Open Resolvers,4610928
385,2023-01-24,90.05,Non Open Resolvers,4114399
386,2023-02-08,89.93,Non Open Resolvers,5413463
387,2023-02-09,89.9,Non Open Resolvers,5572364
388,2023-02-10,90.43,Non Open Resolvers,5584199
389,2023-02-11,90.79,Non Open Resolvers,5589024
390,2023-02-12,90.71,Non Open Resolvers,5521320
391,2023-02-14,90.06,Non Open Resolvers,5683911
392,2023-02-15,89.63,Non Open Resolvers,5675028
393,2023-02-16,90.45,Non Open Resolvers,5613333
394,2023-02-17,90.17,Non Open Resolvers,5355682
395,2023-02-18,90.22,Non Open Resolvers,5219027
396,2023-02-19,90.3,Non Open Resolvers,5400641
397,2023-02-20,89.63,Non Open Resolvers,5156193
398,2023-02-21,90.1,Non Open Resolvers,4906280
399,2023-02-22,90.04,Non Open Resolvers,5067399
400,2023-02-23,90.16,Non Open Resolvers,5080878
401,2023-02-24,89.87,Non Open Resolvers,4877027
402,2023-02-25,89.65,Non Open Resolvers,4755690
403,2023-02-26,90.11,Non Open Resolvers,4693296
404,2023-02-27,89.59,Non Open Resolvers,4941609
405,2023-02-28,89.99,Non Open Resolvers,4800930
406,2023-03-01,90.09,Non Open Resolvers,4507224
407,2023-03-02,89.44,Non Open Resolvers,4710386
408,2023-03-03,89.96,Non Open Resolvers,4803730
409,2023-03-04,89.85,Non Open Resolvers,4513960
410,2023-03-05,90.0,Non Open Resolvers,4712100
411,2023-03-06,89.79,Non Open Resolvers,5096733
412,2023-03-07,90.26,Non Open Resolvers,5087017
413,2023-03-08,90.31,Non Open Resolvers,4854196
414,2023-03-09,90.52,Non Open Resolvers,4800838
415,2023-03-10,90.93,Non Open Resolvers,4764936
416,2023-03-11,91.27,Non Open Resolvers,4509789
417,2023-03-12,91.53,Non Open Resolvers,4573859
418,2023-03-13,90.92,Non Open Resolvers,5136650
419,2023-03-14,90.74,Non Open Resolvers,4712785
420,2023-03-15,91.09,Non Open Resolvers,5473057
421,2023-03-16,90.87,Non Open Resolvers,5734403
422,2023-03-17,91.0,Non Open Resolvers,5533487
423,2023-03-18,91.16,Non Open Resolvers,5025500
424,2023-03-19,91.06,Non Open Resolvers,4985475
425,2023-03-20,90.7,Non Open Resolvers,5189883
426,2023-03-21,90.81,Non Open Resolvers,5283924
427,2023-03-22,90.43,Non Open Resolvers,5043944
428,2023-03-23,90.75,Non Open Resolvers,5085737
429,2023-03-24,90.76,Non Open Resolvers,4961580
430,2023-03-25,90.99,Non Open Resolvers,4770578
431,2023-03-26,90.66,Non Open Resolvers,4643614
432,2023-03-27,90.93,Non Open Resolvers,5055747
433,2023-03-28,91.13,Non Open Resolvers,5075215
434,2023-03-29,91.32,Non Open Resolvers,5023141
435,2023-03-30,91.23,Non Open Resolvers,4682892
436,2023-03-31,90.83,Non Open Resolvers,4730920
437,2023-04-01,90.74,Non Open Resolvers,4471685
438,2023-04-02,90.88,Non Open Resolvers,4802357
439,2023-04-03,90.84,Non Open Resolvers,5169092
440,2023-04-04,91.34,Non Open Resolvers,5450428
441,2023-04-05,91.38,Non Open Resolvers,5133444
442,2023-04-06,91.24,Non Open Resolvers,5056507
443,2023-04-07,90.92,Non Open Resolvers,4996108
444,2023-04-08,91.41,Non Open Resolvers,4865799
445,2023-04-09,91.29,Non Open Resolvers,4841365
446,2023-04-10,91.3,Non Open Resolvers,4921667
447,2023-04-11,91.22,Non Open Resolvers,4979994
448,2023-04-12,91.32,Non Open Resolvers,4989298
449,2023-04-13,91.12,Non Open Resolvers,4918805
450,2023-04-14,91.41,Non Open Resolvers,4979950
451,2023-04-15,91.03,Non Open Resolvers,4614295
452,2023-04-16,91.28,Non Open Resolvers,4874360
453,2023-04-18,91.55,Non Open Resolvers,5438832
454,2023-04-19,91.93,Non Open Resolvers,5721666
455,2023-04-20,92.04,Non Open Resolvers,5229717
456,2023-04-21,91.99,Non Open Resolvers,5233029
457,2023-04-22,92.4,Non Open Resolvers,5356917
458,2023-04-23,92.54,Non Open Resolvers,4943580
459,2023-04-24,91.61,Non Open Resolvers,5068659
460,2023-04-25,91.78,Non Open Resolvers,4985188
461,2023-04-26,91.36,Non Open Resolvers,4926465
462,2023-04-27,91.17,Non Open Resolvers,4839338
463,2023-04-28,91.21,Non Open Resolvers,4667249
464,2023-04-29,91.65,Non Open Resolvers,4718971
465,2023-04-30,91.75,Non Open Resolvers,4709291
